"Home","Home"
"Search entire store here...","Type and hit enter"
"Your Language:","Lingua"
"Currency:","Valuta:"
"Shopping cart","Carrello"
"BAG","Carrello"
"item(s)","item(s)"
"Navigation","Menu"
"Special Price:","Prezzo speciale:"
"Regular Price:","Prezzo:"
"Newsletter","newsletters signup"
"Your email","Your email"
"Subscribe","Subscribe"
"Sign Up","Sign Up"
"My Wishlist","Wishlist"
"My Wishlist (+ACU-d item)","Wishlist (+ACU-d)"
"My Wishlist (+ACU-d items)","Wishlist (+ACU-d)"
"My Account","Account"
"Cart","Carrello"
"View contents of your shopping cart","Vedi il contenuto del tuo carrello"
"View shopping cart","Mostra il carrello"
"Your cart is empty","Il tuo carrello +AOg- vuoto"
"Continue to Checkout","Prosegui con l'ordine"
"Currency","Valuta"
"Language","Lingua"
"Sign Up","Registrati"
"Enter your e+AC0-mail","Inserisci la tua Email"
"Click to see more products from +ACU-s","Click to see more products from +ACU-s"
"Sign Up","Registrati"
"From Twitter","Da Twitter"
"Facebook","Facebook"
"Categories","Categorie"
"Related Products","Prodotti correlati"
"Popular Products","Prodotti popolari"
"Availability:",
"Sign In","Sign In"
"Create an Account","Register"
"No tags connected to product","No tags connected to product"
"View as","Mostra"
"Price Slider","Price Slider"
"prev","Previous"
"next","Avanti"
"Qty","Quantity"
"You may also be interested in the following product(s)","We recommend"
"Unable to find Product ID","Unable to find Product ID"
"Product Not Found","Product Not Found"
"Cannot specify product.","Cannot specify product."
"%1$s has been added to your wishlist. Click <a href="%2$s">here</a> to continue shopping.", "%1$s è stato aggiunto alla wishlist."
"+ACU-1+ACQ-s has been added to your wishlist.","+ACU-1+ACQ-s has been added to your wishlist."
"An error occurred while adding item to wishlist: +ACU-s","An error occurred while adding item to wishlist: +ACU-s"
"An error occurred while adding item to wishlist.","An error occurred while adding item to wishlist."
"Edit item","Edit item"
"Remove This Item","Remove This Item"
"Are you sure you would like to remove this item from the shopping cart?","Are you sure you would like to remove this item from the shopping cart?"
"No tags connected to product","No tags connected to product"
"You need to specify a username","Specifica un username"
"There was an error connecting to your Twitter account","There was an error connecting to your Twitter account"
"Follow us","Follow us"
"on Twitter","on Twitter"
"On Sale","On Sale"
"New Products","Nuovi prodotti"
"quick view","Anteprima"
"Please specify different value for `%s` attribute. Customer with such value already exists.","Specifica un valore differente per l'attributo `%s`. Un profilo con questo valore già esiste."
"Please specify different value for "%s" attribute. Customer with such value already exists.","Specifica un valore differente per l'attributo `%s`. Un profilo con questo valore già esiste."
"File error: %s", "Errore file: %s"
"Image size restriction: %s pixels (width/height)","Dimensioni file errate: %s pixel (larghezza/altezza)"
"Your comment has been submitted.","Il tuo commento è stato inserito"
